Carrot Latency,Carrot Quality,Our Latency,Our Quality,IRT-Router Latency,IRT-Router Quality
40.07668,0.62014,11.23782,0.58085,37.5375581,0.622268908
40.3854,0.62722,11.27512,0.58157,38.48546507,0.625719424
41.47107,0.6352,11.37828,0.58291,38.88031404,0.627817746
42.12752,0.6432,11.56038,0.58392,39.61862717,0.633013781
42.85872,0.653,12.13844,0.59086,40.29744336,0.637028161,
43.88037,0.65729,14.42548,0.60612,41.31007903,0.640827338
44.68077,0.66915,18.8236,0.63325,42.24301214,0.655428914
44.59779,0.67325,26.36819,0.65228,43.15890109,0.670383693
44.33343,0.67762,33.87065,0.67421,43.6862256,0.679144225
43.8351,0.68368,39.33635,0.68135,43.93495937,0.682904192
43.00986,0.68665,43.00986,0.68665,43.00985777,0.686646707
